Temperature - (Celsius), Year, Statistics, Country, ISO3
19.0369, 1994, Jul Average, Paraguay, PRY
21.4241, 1994, Aug Average, Paraguay, PRY
22.8417, 1994, Sep Average, Paraguay, PRY
25.7248, 1994, Oct Average, Paraguay, PRY
25.8438, 1994, Nov Average, Paraguay, PRY
28.264, 1994, Dec Average, Paraguay, PRY
27.5446, 1995, Jan Average, Paraguay, PRY
26.0566, 1995, Feb Average, Paraguay, PRY
25.6792, 1995, Mar Average, Paraguay, PRY
21.7259, 1995, Apr Average, Paraguay, PRY
19.7988, 1995, May Average, Paraguay, PRY
19.9811, 1995, Jun Average, Paraguay, PRY
20.0821, 1995, Jul Average, Paraguay, PRY
20.9016, 1995, Aug Average, Paraguay, PRY
23.1428, 1995, Sep Average, Paraguay, PRY
24.0372, 1995, Oct Average, Paraguay, PRY
26.9735, 1995, Nov Average, Paraguay, PRY
27.4891, 1995, Dec Average, Paraguay, PRY
27.6627, 1996, Jan Average, Paraguay, PRY
26.5306, 1996, Feb Average, Paraguay, PRY
25.2753, 1996, Mar Average, Paraguay, PRY
23.5589, 1996, Apr Average, Paraguay, PRY
20.8483, 1996, May Average, Paraguay, PRY
16.087, 1996, Jun Average, Paraguay, PRY
17.2687, 1996, Jul Average, Paraguay, PRY
21.7904, 1996, Aug Average, Paraguay, PRY
21.3162, 1996, Sep Average, Paraguay, PRY
24.2909, 1996, Oct Average, Paraguay, PRY
25.737, 1996, Nov Average, Paraguay, PRY
26.789, 1996, Dec Average, Paraguay, PRY
27.8379, 1997, Jan Average, Paraguay, PRY
26.8727, 1997, Feb Average, Paraguay, PRY
25.3896, 1997, Mar Average, Paraguay, PRY
22.8707, 1997, Apr Average, Paraguay, PRY
20.7484, 1997, May Average, Paraguay, PRY
18.658, 1997, Jun Average, Paraguay, PRY
20.6803, 1997, Jul Average, Paraguay, PRY
20.7461, 1997, Aug Average, Paraguay, PRY
24.4866, 1997, Sep Average, Paraguay, PRY
25.7316, 1997, Oct Average, Paraguay, PRY
26.8013, 1997, Nov Average, Paraguay, PRY
28.0137, 1997, Dec Average, Paraguay, PRY
28.7073, 1998, Jan Average, Paraguay, PRY
26.5464, 1998, Feb Average, Paraguay, PRY
24.8677, 1998, Mar Average, Paraguay, PRY
22.8809, 1998, Apr Average, Paraguay, PRY
19.3322, 1998, May Average, Paraguay, PRY
18.7351, 1998, Jun Average, Paraguay, PRY
20.4746, 1998, Jul Average, Paraguay, PRY
19.1558, 1998, Aug Average, Paraguay, PRY
21.1392, 1998, Sep Average, Paraguay, PRY
24.5687, 1998, Oct Average, Paraguay, PRY
25.523, 1998, Nov Average, Paraguay, PRY
26.4961, 1998, Dec Average, Paraguay, PRY
27.1694, 1999, Jan Average, Paraguay, PRY
27.7354, 1999, Feb Average, Paraguay, PRY
26.7526, 1999, Mar Average, Paraguay, PRY
22.2912, 1999, Apr Average, Paraguay, PRY
19.2528, 1999, May Average, Paraguay, PRY
18.0875, 1999, Jun Average, Paraguay, PRY
17.3088, 1999, Jul Average, Paraguay, PRY
20.3579, 1999, Aug Average, Paraguay, PRY
25.0049, 1999, Sep Average, Paraguay, PRY
24.9251, 1999, Oct Average, Paraguay, PRY
24.765, 1999, Nov Average, Paraguay, PRY
27.2195, 1999, Dec Average, Paraguay, PRY
28.4759, 2000, Jan Average, Paraguay, PRY
27.3747, 2000, Feb Average, Paraguay, PRY
25.771, 2000, Mar Average, Paraguay, PRY
24.1029, 2000, Apr Average, Paraguay, PRY
19.5002, 2000, May Average, Paraguay, PRY
19.4878, 2000, Jun Average, Paraguay, PRY
14.9058, 2000, Jul Average, Paraguay, PRY
21.0822, 2000, Aug Average, Paraguay, PRY
22.0431, 2000, Sep Average, Paraguay, PRY
25.8441, 2000, Oct Average, Paraguay, PRY
24.9154, 2000, Nov Average, Paraguay, PRY
26.8088, 2000, Dec Average, Paraguay, PRY
28.0527, 2001, Jan Average, Paraguay, PRY
27.3131, 2001, Feb Average, Paraguay, PRY
26.359, 2001, Mar Average, Paraguay, PRY
24.154, 2001, Apr Average, Paraguay, PRY
18.5433, 2001, May Average, Paraguay, PRY
18.5483, 2001, Jun Average, Paraguay, PRY
20.2204, 2001, Jul Average, Paraguay, PRY
23.2441, 2001, Aug Average, Paraguay, PRY
23.2752, 2001, Sep Average, Paraguay, PRY
25.366, 2001, Oct Average, Paraguay, PRY
26.4537, 2001, Nov Average, Paraguay, PRY
26.7492, 2001, Dec Average, Paraguay, PRY
27.7357, 2002, Jan Average, Paraguay, PRY
26.5658, 2002, Feb Average, Paraguay, PRY
27.7495, 2002, Mar Average, Paraguay, PRY
24.4692, 2002, Apr Average, Paraguay, PRY
22.3544, 2002, May Average, Paraguay, PRY
18.3512, 2002, Jun Average, Paraguay, PRY
17.9549, 2002, Jul Average, Paraguay, PRY
22.0392, 2002, Aug Average, Paraguay, PRY
22.679, 2002, Sep Average, Paraguay, PRY
26.856, 2002, Oct Average, Paraguay, PRY
26.5532, 2002, Nov Average, Paraguay, PRY
27.3543, 2002, Dec Average, Paraguay, PRY
28.0254, 2003, Jan Average, Paraguay, PRY
27.0451, 2003, Feb Average, Paraguay, PRY
26.1713, 2003, Mar Average, Paraguay, PRY
22.973, 2003, Apr Average, Paraguay, PRY
20.4277, 2003, May Average, Paraguay, PRY
21.4805, 2003, Jun Average, Paraguay, PRY
18.8614, 2003, Jul Average, Paraguay, PRY
18.5587, 2003, Aug Average, Paraguay, PRY
23.1372, 2003, Sep Average, Paraguay, PRY
25.6818, 2003, Oct Average, Paraguay, PRY
26.4971, 2003, Nov Average, Paraguay, PRY
26.5665, 2003, Dec Average, Paraguay, PRY
28.1569, 2004, Jan Average, Paraguay, PRY
26.7829, 2004, Feb Average, Paraguay, PRY
26.3028, 2004, Mar Average, Paraguay, PRY
25.074, 2004, Apr Average, Paraguay, PRY
16.9167, 2004, May Average, Paraguay, PRY
19.1392, 2004, Jun Average, Paraguay, PRY
18.1618, 2004, Jul Average, Paraguay, PRY
20.1198, 2004, Aug Average, Paraguay, PRY
23.4887, 2004, Sep Average, Paraguay, PRY
24.9286, 2004, Oct Average, Paraguay, PRY
25.1269, 2004, Nov Average, Paraguay, PRY
26.9779, 2004, Dec Average, Paraguay, PRY
27.4123, 2005, Jan Average, Paraguay, PRY
27.3631, 2005, Feb Average, Paraguay, PRY
26.4085, 2005, Mar Average, Paraguay, PRY
23.1554, 2005, Apr Average, Paraguay, PRY
21.3318, 2005, May Average, Paraguay, PRY
19.9976, 2005, Jun Average, Paraguay, PRY
17.9653, 2005, Jul Average, Paraguay, PRY
21.4565, 2005, Aug Average, Paraguay, PRY
19.4352, 2005, Sep Average, Paraguay, PRY
24.0882, 2005, Oct Average, Paraguay, PRY
26.2373, 2005, Nov Average, Paraguay, PRY
26.9192, 2005, Dec Average, Paraguay, PRY
28.241, 2006, Jan Average, Paraguay, PRY
27.2467, 2006, Feb Average, Paraguay, PRY
26.4475, 2006, Mar Average, Paraguay, PRY
23.5528, 2006, Apr Average, Paraguay, PRY
18.413, 2006, May Average, Paraguay, PRY
19.8365, 2006, Jun Average, Paraguay, PRY
21.1838, 2006, Jul Average, Paraguay, PRY
20.8792, 2006, Aug Average, Paraguay, PRY
22.3079, 2006, Sep Average, Paraguay, PRY
25.7125, 2006, Oct Average, Paraguay, PRY
25.8543, 2006, Nov Average, Paraguay, PRY
27.9812, 2006, Dec Average, Paraguay, PRY
27.7352, 2007, Jan Average, Paraguay, PRY
27.6122, 2007, Feb Average, Paraguay, PRY
26.4514, 2007, Mar Average, Paraguay, PRY
24.5877, 2007, Apr Average, Paraguay, PRY
17.6237, 2007, May Average, Paraguay, PRY
19.022, 2007, Jun Average, Paraguay, PRY
16.3783, 2007, Jul Average, Paraguay, PRY
18.4329, 2007, Aug Average, Paraguay, PRY
25.034, 2007, Sep Average, Paraguay, PRY
26.0077, 2007, Oct Average, Paraguay, PRY
25.7851, 2007, Nov Average, Paraguay, PRY
27.0556, 2007, Dec Average, Paraguay, PRY
27.4539, 2008, Jan Average, Paraguay, PRY
26.2675, 2008, Feb Average, Paraguay, PRY
25.791, 2008, Mar Average, Paraguay, PRY
22.5211, 2008, Apr Average, Paraguay, PRY
19.3745, 2008, May Average, Paraguay, PRY
16.6717, 2008, Jun Average, Paraguay, PRY
21.6368, 2008, Jul Average, Paraguay, PRY
20.8831, 2008, Aug Average, Paraguay, PRY
21.2001, 2008, Sep Average, Paraguay, PRY
25.4034, 2008, Oct Average, Paraguay, PRY
26.5462, 2008, Nov Average, Paraguay, PRY
27.9149, 2008, Dec Average, Paraguay, PRY
26.6904, 2009, Jan Average, Paraguay, PRY
27.1263, 2009, Feb Average, Paraguay, PRY
27.2556, 2009, Mar Average, Paraguay, PRY
24.8706, 2009, Apr Average, Paraguay, PRY
21.3966, 2009, May Average, Paraguay, PRY
16.9144, 2009, Jun Average, Paraguay, PRY
16.8287, 2009, Jul Average, Paraguay, PRY
20.9826, 2009, Aug Average, Paraguay, PRY
21.8283, 2009, Sep Average, Paraguay, PRY
25.2267, 2009, Oct Average, Paraguay, PRY
28.8052, 2009, Nov Average, Paraguay, PRY
27.2398, 2009, Dec Average, Paraguay, PRY
27.9964, 2010, Jan Average, Paraguay, PRY
28.4859, 2010, Feb Average, Paraguay, PRY
27.0064, 2010, Mar Average, Paraguay, PRY
23.116, 2010, Apr Average, Paraguay, PRY
18.0055, 2010, May Average, Paraguay, PRY
19.1051, 2010, Jun Average, Paraguay, PRY
17.5653, 2010, Jul Average, Paraguay, PRY
19.6697, 2010, Aug Average, Paraguay, PRY
22.5055, 2010, Sep Average, Paraguay, PRY
24.0257, 2010, Oct Average, Paraguay, PRY
24.8261, 2010, Nov Average, Paraguay, PRY
27.6317, 2010, Dec Average, Paraguay, PRY
28.0745, 2011, Jan Average, Paraguay, PRY
27.4941, 2011, Feb Average, Paraguay, PRY
25.5226, 2011, Mar Average, Paraguay, PRY
23.581, 2011, Apr Average, Paraguay, PRY
20.0096, 2011, May Average, Paraguay, PRY
18.2606, 2011, Jun Average, Paraguay, PRY
18.6848, 2011, Jul Average, Paraguay, PRY
20.1573, 2011, Aug Average, Paraguay, PRY
23.5877, 2011, Sep Average, Paraguay, PRY
25.1519, 2011, Oct Average, Paraguay, PRY
26.3812, 2011, Nov Average, Paraguay, PRY
27.0403, 2011, Dec Average, Paraguay, PRY
28.1204, 2012, Jan Average, Paraguay, PRY
28.0267, 2012, Feb Average, Paraguay, PRY
26.1484, 2012, Mar Average, Paraguay, PRY
22.9935, 2012, Apr Average, Paraguay, PRY
20.9453, 2012, May Average, Paraguay, PRY
18.7511, 2012, Jun Average, Paraguay, PRY
16.7668, 2012, Jul Average, Paraguay, PRY
22.0335, 2012, Aug Average, Paraguay, PRY
24.4929, 2012, Sep Average, Paraguay, PRY
26.785, 2012, Oct Average, Paraguay, PRY
26.8162, 2012, Nov Average, Paraguay, PRY
28.449, 2012, Dec Average, Paraguay, PRY
28.2683, 2013, Jan Average, Paraguay, PRY
27.4091, 2013, Feb Average, Paraguay, PRY
25.3935, 2013, Mar Average, Paraguay, PRY
23.2841, 2013, Apr Average, Paraguay, PRY
20.5168, 2013, May Average, Paraguay, PRY
19.0563, 2013, Jun Average, Paraguay, PRY
18.7101, 2013, Jul Average, Paraguay, PRY
18.1291, 2013, Aug Average, Paraguay, PRY
22.2431, 2013, Sep Average, Paraguay, PRY
24.532, 2013, Oct Average, Paraguay, PRY
26.361, 2013, Nov Average, Paraguay, PRY
28.5332, 2013, Dec Average, Paraguay, PRY
27.745, 2014, Jan Average, Paraguay, PRY
27.6368, 2014, Feb Average, Paraguay, PRY
24.8651, 2014, Mar Average, Paraguay, PRY
23.6511, 2014, Apr Average, Paraguay, PRY
20.2746, 2014, May Average, Paraguay, PRY
19.2893, 2014, Jun Average, Paraguay, PRY
18.9087, 2014, Jul Average, Paraguay, PRY
22.2972, 2014, Aug Average, Paraguay, PRY
25.2288, 2014, Sep Average, Paraguay, PRY
27.9494, 2014, Oct Average, Paraguay, PRY
26.0358, 2014, Nov Average, Paraguay, PRY
27.1514, 2014, Dec Average, Paraguay, PRY
28.0583, 2015, Jan Average, Paraguay, PRY
27.2832, 2015, Feb Average, Paraguay, PRY
26.3813, 2015, Mar Average, Paraguay, PRY
24.3242, 2015, Apr Average, Paraguay, PRY
20.7048, 2015, May Average, Paraguay, PRY
19.9572, 2015, Jun Average, Paraguay, PRY
18.9343, 2015, Jul Average, Paraguay, PRY
21.3935, 2015, Aug Average, Paraguay, PRY
23.9609, 2015, Sep Average, Paraguay, PRY
25.0601, 2015, Oct Average, Paraguay, PRY
25.9611, 2015, Nov Average, Paraguay, PRY
27.6961, 2015, Dec Average, Paraguay, PRY
28.7106, 2016, Jan Average, Paraguay, PRY
28.4127, 2016, Feb Average, Paraguay, PRY
24.8462, 2016, Mar Average, Paraguay, PRY
24.9129, 2016, Apr Average, Paraguay, PRY
17.9925, 2016, May Average, Paraguay, PRY
15.6225, 2016, Jun Average, Paraguay, PRY
18.5883, 2016, Jul Average, Paraguay, PRY
21.5426, 2016, Aug Average, Paraguay, PRY
21.906, 2016, Sep Average, Paraguay, PRY
25.2625, 2016, Oct Average, Paraguay, PRY
25.0744, 2016, Nov Average, Paraguay, PRY
27.1243, 2016, Dec Average, Paraguay, PRY
